Id,Text,Category
16,I think we've seen a deterioration of values.,No
17,I think for a while as a nation we condoned those things we should have condemned.,No
18,"For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think that's all wrong.",No
19,"So we've seen a deterioration in values, and one of the things that I think we should do about it in terms of cause is to instill values into the young people in our schools.",No
20,"We got away, we got into this feeling that value- free education was the thing.",No
21,And I don't believe that at all I do believe there are fundamental rights and wrongs as far as use.,No
22,"And, of course, as far as the how we make it better, yes, we can do better on interdiction.",No
23,"But we've got to do a lot better on education, and we have to do, be tougher on those who commit crimes.",No
24,We've got to get after the users more.,No
25,We have to change this whole culture.,No
27,"And I saw the cocaine scene treated with humor, as though this was a humorous little incident.",No
29,Everybody ought to be in this thing.,No
30,"Entertainment industry, people involved in the schools, education.",No
31,And it isn't a Republican or a Democrat or a liberal problem.,No
32,But we have got to instill values in these young people.,No
33,And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods.,No
34,"But I think we're all in this together, and my plea to the American people is values in the schools.",No
36,I agree with Mr. Bush that values are important.,No
37,But it's important that our leaders demonstrate those values from the top.,No
38,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,No
39,Here we are with a government that's been dealing with a drug-running Panamanian dictator.,Yes
40,We've been dealing with him; he's been dealing drugs to our kids.,Yes
41,Governors like me and others have been trying to deal with the consequences.,No
42,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help.",No
43,We're providing that young woman with help.,No
44,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.",No
45,"Values begin at the top, in the White House.",No
46,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,No
50,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",No
51,And Mr. Bush is right - the two go hand in hand.,No
52,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",No
53,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",Yes
54,But we also have to take demand seriously.,No
55,"You know, we have five percent of the world's population in this country.",Yes
56,We're consuming 50 percent of the world's cocaine.,Yes
57,Doing better in the neighborhoods.,No
58,"But I think we're all in this together, and my plea to the American people is values in the schools.",No
60,I agree with Mr. Bush that values are important.,No
61,But it's important that our leaders demonstrate those values from the top.,No
62,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,No
63,Here we are with a government that's been dealing with a drug-running Panamanian dictator.,No
64,We've been dealing with him; he's been dealing drugs to our kids.,No
65,Governors like me and others have been trying to deal with the consequences.,No
66,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help.",No
67,We're providing that young woman with help.,No
68,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.",No
69,"Values begin at the top, in the White House.",No
70,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,No
74,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",No
75,And Mr. Bush is right - the two go hand in hand.,No
76,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",No
77,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",Yes
78,But we also have to take demand seriously.,No
79,"You know, we have five percent of the world's population in this country.",Yes
81,And in my state I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country.,Yes
82,We're helping youngsters; we're reaching out to them.,No
83,"And we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and that's the kind of effort we need in every elementary school in the United States of America.",No
84,"And we've got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances.",No
85,"I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country.",No
86,"If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country.",No
88,"Well, the other day my opponent was given a briefing by the CIA.",No
89,I asked for and received the same briefing.,No
90,I am very careful in public life about dealing with classified information.,No
91,And what I'm about to say is unclassified.,No
92,Seven administrations were dealing with Mr. Noriega.,Yes
